Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.90,0.0,pres2024,50
proxy_0.90,0.55,pres2024,46
proxy_0.90,0.55,auth1_W1,2
proxy_0.90,0.55,cn_W2,1
proxy_0.90,0.55,pff_dt,1
proxy_0.90,0.56,cn_W2,1
proxy_0.90,0.56,pres2024,40
proxy_0.90,0.56,pff_dt,4
proxy_0.90,0.56,auth1_W1,3
proxy_0.90,0.56,auth_grid_1,1
proxy_0.90,0.56,immigrant_deport,1
proxy_0.90,0.57,pres2024,44
proxy_0.90,0.57,cn_W2,2
proxy_0.90,0.57,auth1_W1,2
proxy_0.90,0.57,pff_dt,2
proxy_0.90,0.58,pres2024,38
proxy_0.90,0.58,auth1_W1,7
proxy_0.90,0.58,pff_dt,3
proxy_0.90,0.58,cn_W2,2
proxy_0.90,0.59,pres2024,34
proxy_0.90,0.59,pff_dt,5
proxy_0.90,0.59,cn_W2,4
proxy_0.90,0.59,auth1_W1,6
proxy_0.90,0.59,immigrant_deport,1
proxy_0.90,0.6,pres2024,41
proxy_0.90,0.6,pff_dt,4
proxy_0.90,0.6,auth1_W1,2
proxy_0.90,0.6,cn1_W2,1
proxy_0.90,0.6,cn_W2,2
proxy_0.90,0.61,pres2024,34
proxy_0.90,0.61,cn_W2,3
proxy_0.90,0.61,pff_dt,5
proxy_0.90,0.61,cn1_W2,5
proxy_0.90,0.61,auth1_W1,3
proxy_0.90,0.62,auth1_W1,5
proxy_0.90,0.62,pres2024,36
proxy_0.90,0.62,cn_W2,6
proxy_0.90,0.62,pff_dt,1
proxy_0.90,0.62,cn1_W2,1
proxy_0.90,0.62,rr_W1,1
proxy_0.90,0.63,auth1_W1,5
proxy_0.90,0.63,pres2024,34
proxy_0.90,0.63,cn_W2,9
proxy_0.90,0.63,auth_W1,1
proxy_0.90,0.63,pff_dt,1
proxy_0.90,0.64,cn_W2,7
proxy_0.90,0.64,pres2024,39
proxy_0.90,0.64,pff_dt,3
proxy_0.90,0.64,auth1_W1,1
proxy_0.90,0.65,pres2024,31
proxy_0.90,0.65,cn_W2,9
proxy_0.90,0.65,pff_dt,3
proxy_0.90,0.65,auth1_W1,3
proxy_0.90,0.65,cn1_W2,4
proxy_0.90,0.66,pres2024,27
proxy_0.90,0.66,auth1_W1,5
proxy_0.90,0.66,cn_W2,14
proxy_0.90,0.66,auth_W1,2
proxy_0.90,0.66,pff_dt,1
proxy_0.90,0.66,cn1_W2,1
proxy_0.90,0.67,pres2024,23
proxy_0.90,0.67,pff_dt,1
proxy_0.90,0.67,auth1_W1,4
proxy_0.90,0.67,cn_W2,18
proxy_0.90,0.67,cn1_W2,3
proxy_0.90,0.67,auth_W1,1
proxy_0.90,0.68,cn_W2,24
proxy_0.90,0.68,pres2024,17
proxy_0.90,0.68,pff_dt,5
proxy_0.90,0.68,auth1_W1,1
proxy_0.90,0.68,auth_W1,2
proxy_0.90,0.68,cn1_W2,1
proxy_0.90,0.69,pres2024,14
proxy_0.90,0.69,cn6,1
proxy_0.90,0.69,christn,2
proxy_0.90,0.69,cn_W2,15
proxy_0.90,0.69,abortion,4
proxy_0.90,0.69,auth1_W1,7
proxy_0.90,0.69,st_W1_01,1
proxy_0.90,0.69,auth_W1,1
proxy_0.90,0.69,cn3,1
proxy_0.90,0.69,abort01,1
proxy_0.90,0.69,pff_dt,1
proxy_0.90,0.69,maga_view,2
proxy_0.90,0.7,christian_top,4
proxy_0.90,0.7,cn6,6
proxy_0.90,0.7,cn1,8
proxy_0.90,0.7,christn,2
proxy_0.90,0.7,cn3,7
proxy_0.90,0.7,pres2024,5
proxy_0.90,0.7,abortion,8
proxy_0.90,0.7,auth_grid_1,1
proxy_0.90,0.7,auth1_W1,3
proxy_0.90,0.7,auth_W1,2
proxy_0.90,0.7,mwe_ethnic_01,2
proxy_0.90,0.7,cn_W2,1
proxy_0.90,0.7,index,1
proxy_0.90,0.71,trumpfav,5
proxy_0.90,0.71,age501,3
proxy_0.90,0.71,respondent_id,11
proxy_0.90,0.71,index,20
proxy_0.90,0.71,cn6,2
proxy_0.90,0.71,christian_top,4
proxy_0.90,0.71,birthyr,1
proxy_0.90,0.71,auth_grid_1,1
proxy_0.90,0.71,cn3,1
proxy_0.90,0.71,auth_W1,1
proxy_0.90,0.71,auth1_W1,1
proxy_0.90,0.72,respondent_id,26
proxy_0.90,0.72,index,18
proxy_0.90,0.72,age501,1
proxy_0.90,0.72,trumpfav,1
proxy_0.90,0.72,christian_top,1
proxy_0.90,0.72,auth1_W1,2
proxy_0.90,0.72,auth_grid_1,1
proxy_0.90,0.73,respondent_id,40
proxy_0.90,0.73,index,5
proxy_0.90,0.73,auth1_W1,1
proxy_0.90,0.73,socdom_W1,1
proxy_0.90,0.73,male,1
proxy_0.90,0.73,auth_W1,2
proxy_0.90,0.74,respondent_id,46
proxy_0.90,0.74,index,3
proxy_0.90,0.74,auth1_W1,1
proxy_0.90,0.75,respondent_id,50
